"SPECIES_CODE","COMMON_NAME","SCIENTIFIC_NAME"
42,"SEA ONIONS UNIDENTIFIED","BOLTENIA SPP"
58,"SEA PEN-SEA WHIP UNIDENTIFIED","PENNATULACEA"
57,"SEA POTATO UNIDENTIFIED","HALOCYNTHIA SPP"
56,"SEA SPIDER UNIDENTIFIED","PYCNOGONIDA"
40,"SEA URCHINS-SAND DOLLARS UNIDENTIFIED","ECHINOIDEA"
550,"SEABASS UNIDENTIFIED","SCIAENIDAE"
242,"SEARCHER","BATHYMASTER SIGNATUS"
65,"SHARK UNIDENTIFIED","SELACHII"
304,"SHARPCHIN ROCKFISH","SEBASTES ZACENTRUS"
853,"SHEARWATER UNIDENTIFIED","PROCELLARIIDAE SP"
809,"SHINING LOOSEJAW","ARISTOSTOMIAS SCINTILLANS"
609,"SHINING TUBESHOULDER","SAGAMICHTHYS ABEI"
867,"SHOREBIRD UNIDENTIFIED","CHARADRIIFORMES SPP"
1155,"SHORT-EARED OWL","ASIO FLAMMEUS"
850,"SHORT-TAILED ALBATROSS","DIOMEDEA ALBATRUS"
857,"SHORT-TAILED SHEARWATER","PUFFINUS TENUIROSTRIS"
318,"SHORTBELLY ROCKFISH","SEBASTES JORDANI"
259,"SHORTFIN EELPOUT","LYCODES BREVIPES"
406,"SHORTHORN SCULPIN","MYOXOCEPHALUS SCORPIUS"
326,"SHORTRAKER ROCKFISH","SEBASTES BOREALIS"
354,"SHORTRAKER/ROUGHEYE ROCKFISH","NON TAXANOMIC GROUPING"
350,"SHORTSPINE THORNYHEAD","SEBASTOLOBUS ALASCANUS"
938,"SHOULDERED WHELK","VOLUTOPSIUS STEFANSSONI"
70,"SHRIMP UNIDENTIFIED","CARIDEA"
1156,"SIBERIAN ACCENTOR","PRUNELLA MONTANELLA"
72,"SIDESTRIPE SHRIMP","PANDALOPSIS DISPAR"
296,"SILVER SPINYFIN","DIRETMUS ARGENTEUS"
310,"SILVERGRAY ROCKFISH","SEBASTES BREVISPINIS"
396,"SILVERSPOTTED SCULPIN","BLEPSIAS CIRRHOSUS"
777,"SILVERY HATCHETFISH","ARGYROPELECUS LYCHNUS"
941,"SINUOUS WHELK","BUCCINUM PLECTRUM"
78,"SIXGILL SHARK","HEXANCHUS GRISEUS"
91,"SKATE EGG CASE UNIDENTIFIED","RAJIFORMES"
90,"SKATE UNIDENTIFIED","RAJIFORMES"
212,"SKILFISH","ERILEPIS ZONIFER"
1154,"SLATY-BACKED GULL","LARUS SCHISTISAGUS"
772,"SLENDER BARRACUDINA","LESTIDIOPS RINGENS"
216,"SLENDER CODLING","HALARGYREUS JOHNSONII"
560,"SLENDER SNIPE EEL","NEMICHTHYS SCOLOPACEUS"
111,"SLENDER SOLE","LYOPSETTA EXILIS"
626,"SLICKHEADS UNIDENTIFIED","ALEPOCEPHALIDEA"
416,"SLIM SCULPIN","RADULINUS ASPRELLUS"
348,"SMALL RED ROCKFISH GROUP","NON TAXANOMIC GROUPING"
270,"SMALLEYE SQUARETAIL","TETRAGONURUS CUVIERI"
602,"SMELT UNIDENTIFIED","OSMERIDAE"
600,"SMELT/HERRING UNIDENTIFIED","CLUPEIDAE, OSMERIDAE"
454,"SMOOTH ALLIGATORFISH","ANOPLAGONUS INERMIS"
531,"SMOOTH LUMPSUCKER","APTOCYCLUS VENTRICOSUS"
34,"SNAIL EGGS UNIDENTIFIED","GASTROPODA"
36,"SNAIL SHELL UNIDENTIFIED","GASTROPOD"
30,"SNAIL UNIDENTIFIED","GASTROPODA"
500,"SNAILFISH UNIDENTIFIED","LIPARIDAE"
751,"SNAKE PRICKLEBACK","LUMPENUS SAGITTA"
559,"SNIPE EEL UNIDENTIFIED","NEMICHTHYIDAE"
1157,"SNOWY OWL","NYCTEA SCANDIACA"
224,"SOCKEYE SALMON","ONCORHYNCHUS NERKA"
819,"SOFT CORAL","ALCYONACEA"
159,"SOFT SNOUT SKATE","BATHYRAJA SPP"
856,"SOOTY SHEARWATER","PUFFINUS GRISEUS"
64,"SOUPFIN SHARK","GALEORHINUS GALEUS"
1159,"SOUTH POLAR SKUA","STERCORARIUS MACCORMICKI"
121,"SOUTHERN ROCK SOLE","LEPIDOPSETTA BILINEATA"
342,"SPECKLED ROCKFISH","SEBASTES OVALIS"
864,"SPECTACLED EIDER","SOMATERIA FISCHERI"
426,"SPECTACLED SCULPIN","TRIGLOPS SCEPTICUS"
66,"SPINY DOGFISH SHARK","SQUALUS SUCKLEYI"
461,"SPINYCHEEK STARSNOUT","BATHYAGONUS INFRASPINATUS"
401,"SPINYHEAD SCULPIN","DASYCOTTUS SETIGER"
315,"SPLITNOSE ROCKFISH","SEBASTES DIPLOPROA"
26,"SPONGE UNIDENTIFIED","PORIFERA"
622,"SPOOKFISH UNIDENTIFIED","OPISTHOPROCTIDAE"
1158,"SPOONBILL SANDPIPER","EURYNORHYNCHUS PYGMEUS"
71,"SPOT SHRIMP","PANDALUS PLATYCEROS"
256,"SPOTTED CUSK-EEL","CHILARA TAYLORI"
99,"SPOTTED RATFISH","HYDROLAGUS COLLIEI"
356,"SQUARESPOT ROCKFISH","SEBASTES HOPKINSI"
50,"SQUID UNIDENTIFIED","TEUTHIDA"
20,"STARFISH UNIDENTIFIED","ASTEROIDEA"
142,"STARRY FLOUNDER","PLATICHTHYS STELLATUS"
338,"STARRY ROCKFISH","SEBASTES CONSTELLATUS"
96,"STARRY SKATE","RAJA STELLULATA"
226,"STEELHEAD","ONCORHYNCHUS MYKISS"
865,"STELLER'S EIDER","POLYSTICTA STELLERI"
167,"STIFF SNOUT SKATE","RAJA SPP"
816,"STONY CORAL","SCLERACTINIA"
858,"STORM-PETREL UNIDENTIFIED","HYDROBATIDAE"
328,"STRIPETAIL ROCKFISH","SEBASTES SAXICOLA"
452,"STURGEON POACHER","PODOTHECUS ACCIPENSERINUS"
230,"STURGEON UNIDENTIFIED","ACIPENSERIDAE"
986,"SUNFLOWER SEA STAR","PYCNOPIDIA HELIANTHOIDES"
24,"SUNSTAR STARFISH","SOLASTERIDAE"
613,"SURF SMELT","HYPOMESUS PRETIOSUS"
811,"SWORDFISH","XIPHIDIAS GLADUS"
397,"TADPOLE SCULPIN","PSYCHROLUTES PARADOXUS"
3,"TANNER CRAB UNIDENTIFIED","CHIONOECETES SP"
18,"TANNERI TANNER","CHIONOECETES TANNERI"
23,"TELMESSUS CRAB","TELMESSUS CHEIRAGONUS"
880,"TERN UNIDENTIFIED","STERNINAE SP"
888,"THICK-BILLED MURRE","URIA LOMVIA"
959,"THICK-RIBBED WHELK","COLUS SPITZBERGENSIS"
958,"THIN-RIBBED WHELK","COLUS HERENDEENII"
413,"THORNY SCULPIN","ICELUS SPINIGER"
349,"THORNYHEAD ROCKFISH UNIDENT","SEBASTOLOBUS SP"
935,"THREADED WHELK","VOLUTOPSIUS FILOSUS"
403,"THREADFIN SCULPIN","ICELINUS FILAMENTOSUS"
625,"THREADFIN SLICKHEAD","TALISMANIA BIFURCATA"
63,"THRESHER SHARK","ALOPIAS VULPINUS"
428,"THYRISCUS ANOPLUS","THYRISCUS ANOPLUS"
329,"TIGER ROCKFISH","SEBASTES NIGROCINCTUS"
433,"TRIGLOPS SCULPIN UNIDENTIFIED","TRIGLOPS SPP"
848,"TUBENOSES UNIDENTIFIED","PROCELLARIIFORMES"
807,"TUBESHOULDER UNIDENTIFIED","PLATYTROCTIDAE"
892,"TUFTED PUFFIN","FRATERCULA CIRRHATA"
951,"TULIP WHELK","VOLUTOPSIUS MIDDENDORFFII"
102,"TURBOT (GREENLAND)","REINHARDTIUS HIPPOGLOSSOIDES"
143,"TURBOT/KAM/ARROW - UNIDENTIFIED","NON TAXANOMIC GROUPING"
253,"TWOLINE EELPOUT","BOTHROCARA BRUNNEUM"
1160,"UNIDENTIFIED AUKLET","ALCIDAE"
1162,"UNIDENTIFIED DUCK","ANATIDAE"
1163,"UNIDENTIFIED EIDER","ANATINAE"
1164,"UNIDENTIFIED FALCON","FALCONINAE"
1165,"UNIDENTIFIED HAWK","ACCIPITRIDAE"
1166,"UNIDENTIFIED KITTIWAKE","LORIDAE"
1167,"UNIDENTIFIED MURRELET","ALCIDAE"
1168,"UNIDENTIFIED OWL","STRIGIDAE"
1169,"UNIDENTIFIED PASSERINE","PASSERIFORMES"
1170,"UNIDENTIFIED PETREL","HYDROBATIDAE"
1161,"UNIDENTIFIED PLOVER","CHARADRIIDAE"
1171,"UNIDENTIFIED RAPTOR","UNIDENTIFIED RAPTOR"
1174,"UNIDENTIFIED SANDPIPER","SCOLOPACIDAE"
1172,"UNIDENTIFIED SHOREBIRD","UNIDENTIFIED SHOREBIRD"
1175,"UNIDENTIFIED SMALL DARK AUKLET","ALCIDAE"
1176,"UNIDENTIFIED SPARROW","FRINGILLIDAE"
1173,"UNIDENTIFIED WARBLER","SYLVIIDAE"
9992,"UNKNOWN","UNKNOWN"
931,"VELUTINA VELUTINA","VELUTINA VELUTINA"
331,"VERMILION ROCKFISH","SEBASTES MINIATUS"
805,"VIPERFISH UNIDENTIFIED","CHAULIODONTINAE"
953,"WARPED WHELK","VOLUTOPSIUS DEFORMIS"
451,"WARTY POACHER","CHESNONIA VERRUCOSA"
398,"WARTY SCULPIN","MYOXOCEPHALUS SCORPIUS"
862,"WATERFOWL UNIDENTIFIED","ANSERIFORMES SPP"
251,"WATTLED EELPOUT","LYCODES PALEARIS"
1178,"WESTERN GULL","LARUS OCCIDENTALIS"
540,"WHALEFISHES UNIDENTIFIED","CETOMIMIDAE SPP"
1179,"WHISKERED AUKLET","AETHIA PYGMAEA"
773,"WHITE BARRACUDINA","ARCTOZENUS RISSO"
1177,"WHITE-CROWNED SPARROW","ZONOTRICHIA LEUCOPHRYS"
1181,"WHITE-WINGED SCOTER","MELANITTA FUSCA"
616,"WHITEBAIT SMELT","ALLOSMERUS ELONGATUS"
755,"WHITEBARRED PRICKLEBACK","POROCLINUS ROTHROCKI"
164,"WHITEBLOTCHED SKATE","BATHYRAJA MACULATA"
162,"WHITEBROW SKATE","BATHYRAJA MINISPINOSA"
391,"WHITESPOTTED GREENLING","HEXAGRAMMOS STELLERI"
305,"WIDOW ROCKFISH","SEBASTES ENTOMELAS"
1180,"WILSON'S WARBLER","WILSONIA PUSILLA"
780,"WOLF-EEL","ANARRHICHTHYS OCELLATUS"
779,"WOLFFISH UNIDENTIFIED","ANARHICHADIDAE"
829,"WORMS UNIDENTIFIED","ANIMALIA"
759,"WRYMOUTH UNIDENTIFIED","CRYPTACANTHODIDAE"
414,"YELLOW IRISH LORD","HEMILEPIDOTUS JORDANI"
1182,"YELLOW WAGTAIL","MOTACILLA FLAVA"
322,"YELLOWEYE ROCKFISH","SEBASTES RUBERRIMUS"
140,"YELLOWFIN SOLE","LIMANDA ASPERA"
320,"YELLOWMOUTH ROCKFISH","SEBASTES REEDI"
321,"YELLOWTAIL ROCKFISH","SEBASTES FLAVIDUS"
